epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1509,1.04532,4.56625,1.24642,0,0,0,0,0.62904,4.20074,0.89034,0.00010323,0.00010323,0.00010323
2,87.9953,0.90589,4.09748,1.09238,0.02785,0.57321,0.07242,0.066,0.52869,3.86409,0.82427,0.000205636,0.000205636,0.000205636
3,129.767,0.87723,3.6493,1.07457,0.33461,0.16688,0.17163,0.14773,0.57035,3.25959,0.86829,0.000303823,0.000303823,0.000303823
4,169.874,0.88704,3.32279,1.08931,0.20402,0.33411,0.22127,0.19653,0.59275,2.90848,0.88675,0.00031322,0.00031322,0.00031322
5,210.473,0.89152,3.02457,1.08941,0.18701,0.48022,0.26895,0.23129,0.5747,2.82752,0.86789,0.000306626,0.000306626,0.000306626
6,251.328,0.85498,2.81099,1.07308,0.23303,0.6334,0.41151,0.34667,0.57614,2.39492,0.91267,0.000300033,0.000300033,0.000300033
7,291.551,0.89049,2.6349,1.10378,0.32658,0.63076,0.44306,0.38075,0.58712,2.3107,0.91833,0.00029344,0.00029344,0.00029344
8,331.952,0.86811,2.47986,1.08955,0.59878,0.42103,0.5211,0.44842,0.56501,2.14851,0.90735,0.000286846,0.000286846,0.000286846
9,372.401,0.80589,2.35282,1.05674,0.41603,0.58631,0.56497,0.50019,0.52303,2.003,0.8721,0.000280253,0.000280253,0.000280253
10,413.082,0.8025,2.2139,1.07107,0.36525,0.62117,0.5745,0.51406,0.52717,2.0333,0.88253,0.000273659,0.000273659,0.000273659
11,453.403,0.78183,2.16761,1.06561,0.42874,0.64999,0.59978,0.53719,0.48152,1.91366,0.87221,0.000267066,0.000267066,0.000267066
12,493.422,0.76963,2.08108,1.05259,0.42523,0.71417,0.66129,0.59107,0.48565,1.88186,0.86896,0.000260473,0.000260473,0.000260473
13,533.707,0.75229,2.03231,1.05418,0.36827,0.6645,0.63678,0.57638,0.50008,1.83614,0.89499,0.000253879,0.000253879,0.000253879
14,573.653,0.73311,1.96032,1.03842,0.53985,0.67482,0.66451,0.59532,0.49224,1.67182,0.90442,0.000247286,0.000247286,0.000247286
15,616.349,0.73171,1.88982,1.03035,0.57681,0.69198,0.69358,0.61482,0.5298,1.57813,0.91198,0.000240692,0.000240692,0.000240692
16,657.32,0.74769,1.81962,1.0529,0.52012,0.7271,0.70184,0.62408,0.52704,1.52899,0.89535,0.000234099,0.000234099,0.000234099
17,697.447,0.74737,1.75601,1.04234,0.67945,0.74111,0.76505,0.69001,0.49161,1.47487,0.87334,0.000227506,0.000227506,0.000227506
18,737.498,0.69542,1.70251,1.01696,0.63152,0.74487,0.79853,0.72729,0.45865,1.44502,0.87025,0.000220912,0.000220912,0.000220912
19,778.242,0.70818,1.70759,1.02399,0.62598,0.77058,0.79109,0.71519,0.47258,1.4502,0.8733,0.000214319,0.000214319,0.000214319
20,818.708,0.68694,1.62549,1.02348,0.62517,0.7727,0.84038,0.76538,0.44883,1.45125,0.86846,0.000207725,0.000207725,0.000207725
21,858.388,0.68399,1.56953,1.021,0.66821,0.78788,0.83387,0.76086,0.45068,1.27474,0.87415,0.000201132,0.000201132,0.000201132
22,899.104,0.68012,1.59215,1.01126,0.70075,0.81731,0.8567,0.78555,0.45832,1.19731,0.87159,0.000194539,0.000194539,0.000194539
23,939.539,0.67721,1.50945,1.01301,0.65778,0.79736,0.84753,0.76602,0.47459,1.17427,0.87572,0.000187945,0.000187945,0.000187945
24,979.379,0.64884,1.45871,1.00152,0.76751,0.79024,0.85547,0.77839,0.46464,1.14545,0.87615,0.000181352,0.000181352,0.000181352
25,1019.57,0.65223,1.45418,1.01311,0.65824,0.87371,0.87115,0.80001,0.43709,1.10233,0.86039,0.000174758,0.000174758,0.000174758
26,1059.85,0.65127,1.38884,1.00293,0.73044,0.81644,0.864,0.78766,0.45581,1.09607,0.87317,0.000168165,0.000168165,0.000168165
27,1100.02,0.65516,1.41215,1.00776,0.75468,0.85951,0.89081,0.81831,0.44615,1.03214,0.85882,0.000161572,0.000161572,0.000161572
28,1139.62,0.64789,1.38548,1.01298,0.7404,0.79302,0.86672,0.79649,0.44205,1.09286,0.8571,0.000154978,0.000154978,0.000154978
29,1180.07,0.62581,1.32124,1.00292,0.79596,0.80988,0.88192,0.81324,0.42437,1.03419,0.85272,0.000148385,0.000148385,0.000148385
30,1221.95,0.63692,1.33018,0.99665,0.77378,0.80888,0.89508,0.82468,0.42552,1.00509,0.84977,0.000141791,0.000141791,0.000141791
31,1261.38,0.62609,1.28422,1.0008,0.73759,0.83796,0.90484,0.82835,0.43509,1.00256,0.86526,0.000135198,0.000135198,0.000135198
32,1301.36,0.58721,1.24462,0.98908,0.71322,0.88925,0.90714,0.83717,0.43616,0.97655,0.86681,0.000128605,0.000128605,0.000128605
33,1340.74,0.6234,1.30465,0.99316,0.75459,0.82686,0.89874,0.82644,0.42115,0.99776,0.85835,0.000122011,0.000122011,0.000122011
34,1380.44,0.61369,1.23698,0.97602,0.79442,0.84748,0.90795,0.84204,0.41776,0.92047,0.85912,0.000115418,0.000115418,0.000115418
35,1419.72,0.59976,1.17547,0.98013,0.8522,0.83061,0.91336,0.84648,0.42079,0.93638,0.85959,0.000108824,0.000108824,0.000108824
36,1459.25,0.58598,1.16899,0.97168,0.81588,0.86923,0.92701,0.86125,0.4101,0.89191,0.85693,0.000102231,0.000102231,0.000102231
37,1498.99,0.57826,1.13846,0.97103,0.80228,0.88512,0.93161,0.86517,0.42077,0.90631,0.86022,9.56376e-05,9.56376e-05,9.56376e-05
38,1538.22,0.59439,1.19407,0.97859,0.81347,0.86843,0.92086,0.85151,0.40948,0.89457,0.85449,8.90442e-05,8.90442e-05,8.90442e-05
39,1577.86,0.58617,1.18005,0.97642,0.85565,0.8453,0.91708,0.85288,0.41093,0.88217,0.85499,8.24508e-05,8.24508e-05,8.24508e-05
40,1617.25,0.58267,1.13746,0.98574,0.78415,0.87788,0.91135,0.85028,0.41636,0.88462,0.85739,7.58574e-05,7.58574e-05,7.58574e-05
41,1656.6,0.37466,0.8687,0.84998,0.78964,0.86093,0.90536,0.84052,0.42593,0.94942,0.84869,6.9264e-05,6.9264e-05,6.9264e-05
42,1695.61,0.37511,0.79854,0.85742,0.78853,0.86896,0.90797,0.84926,0.40189,0.87445,0.8445,6.26706e-05,6.26706e-05,6.26706e-05
43,1734.9,0.35887,0.7514,0.84899,0.79141,0.85749,0.90954,0.84711,0.39355,0.88373,0.83942,5.60772e-05,5.60772e-05,5.60772e-05
44,1773.77,0.34799,0.7228,0.8348,0.87834,0.85777,0.90707,0.8466,0.39639,0.85797,0.83855,4.94838e-05,4.94838e-05,4.94838e-05
45,1815.04,0.34836,0.70099,0.84324,0.87065,0.86703,0.9138,0.84953,0.39488,0.82856,0.8424,4.28904e-05,4.28904e-05,4.28904e-05
46,1854.08,0.33271,0.68731,0.84252,0.86367,0.88008,0.92036,0.85717,0.39863,0.81403,0.84179,3.6297e-05,3.6297e-05,3.6297e-05
47,1893.6,0.33535,0.6755,0.83696,0.86262,0.87214,0.92252,0.85768,0.38948,0.8196,0.8416,2.97036e-05,2.97036e-05,2.97036e-05
48,1932.44,0.33426,0.65147,0.83552,0.86863,0.87649,0.92466,0.86447,0.39065,0.81768,0.84124,2.31102e-05,2.31102e-05,2.31102e-05
49,1971.62,0.33594,0.64467,0.83618,0.86612,0.87394,0.92876,0.86608,0.39301,0.81655,0.84154,1.65168e-05,1.65168e-05,1.65168e-05
50,2010.72,0.33272,0.65632,0.838,0.85359,0.88583,0.92815,0.86407,0.3947,0.81364,0.84081,9.9234e-06,9.9234e-06,9.9234e-06
